Active Agents,Exited Agents,Cumulative Exited Agents,Agents per Cell - Main Exit,Agents per Cell - South West Exit,Agents per Cell - North West Exit,Agents per Cell - East Exit,Agents per Cell - South East Exit,Agents per Cell - First South Exit,Agents per Cell - First North Exit,Agents per Cell - Stairs North,Agents per Cell - Stairs South,Agents per Cell - North Stairs,Agents per Cell - South Stairs,scenario_id,replication_id
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,3,0
1007,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
1007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,3,0
1007,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,3,0
1007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3,0
1007,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.25,0.75,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,3,0
1007,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,2.0,0.25,1.25,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,3,0
1007,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.75,3,0
1007,0,0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3,0
1007,0,0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.5,3,0
1007,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.5,2.5,0.25,2.75,3,0
1007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.25,3,0
1007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,2.75,3,0
1007,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.5,1.0,4.75,3,0
1007,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,3.0,0.25,5.0,3,0
1007,0,0,0.125,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.25,4.0,3,0
1007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.75,5.5,3,0
1007,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.5,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.75,4.5,3,0
1007,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.25,5.0,3,0
1007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,4.0,0.5,5.25,3,0
1007,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.25,2.75,3,0
