Active Agents,Exited Agents,Cumulative Exited Agents,Agents per Cell - Main Exit,Agents per Cell - South West Exit,Agents per Cell - North West Exit,Agents per Cell - East Exit,Agents per Cell - South East Exit,Agents per Cell - First South Exit,Agents per Cell - First North Exit,Agents per Cell - Stairs North,Agents per Cell - Stairs South,Agents per Cell - North Stairs,Agents per Cell - South Stairs,scenario_id,replication_id
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.25,0.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.25,0.25,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.25,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,1.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,1.75,4,0
1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,1.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.25,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.75,4,0
1001,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.75,1.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,1.75,4,0
1001,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.5,0.25,1.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,1.75,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.25,1.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.75,3.5,4,0
1001,0,0,0.125,0.0,0.0,0.0,2.0,0.0,0.0,1.5,0.5,1.25,1.5,4,0
1001,0,0,0.125,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,2.75,4,0
1001,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.5,1.0,3.0,4,0
1001,0,0,0.125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.75,4.0,4,0
1001,0,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.5,4.5,1.25,2.5,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.25,2.25,4,0
1001,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.5,1.25,3.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.75,3.0,4,0
1001,0,0,0.125,0.0,0.0,0.0,3.0,0.0,0.0,0.5,2.0,0.25,1.75,4,0
1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5,0.75,2.75,4,0
1001,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,1.5,3.5,1.0,3.0,4,0
1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,1.0,2.0,4,0
1001,0,0,0.125,0.0,0.0,0.0,3.0,0.0,1.0,1.5,4.0,0.75,3.25,4,0
1001,0,0,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,2.25,4,0
1001,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,2.25,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,2.5,1.5,3.25,4,0
1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,1.75,4,0
